# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	41606
#@/user_id	fred-mbp
a 	啊	c=754 d=2.64207 t=41606
bing bu zhi yuan 	並不支援	c=1 d=3.74063e-50 t=41606
bing cun 	並存	c=1 d=0.0523397 t=41606
bing du 	病毒	c=1 d=6.09097e-80 t=41606
bing du gan ran 	病毒感染	c=1 d=3.34336e-82 t=41606
bing fa 	併發	c=1 d=2.20063e-44 t=41606
bing fei 	並非	c=0 d=0.0224249 t=41606
bing huan 	病患	c=3 d=1.44334e-16 t=41606
bing ji 	丙級	c=5 d=0.0370109 t=41606
bing ku 	病苦	c=1 d=1.75724e-44 t=41606
bing mei you 	並沒有	c=6 d=0.00128757 t=41606
bing qi 	兵器	c=1 d=7.93376e-72 t=41606
bing qi 	摒棄	c=1 d=7.97353e-72 t=41606
bing qi lin 	冰淇淋	c=1 d=1.58911e-79 t=41606
bing qie 	並且	c=4 d=2.23472 t=41606
bing ren 	病人	c=4 d=1.61886e-16 t=41606
bo bao 	播報	c=1 d=5.51545e-30 t=41606
bo jin 	鉑金	c=2 d=2.46162e-39 t=41606
bo ke 	博客	c=0 d=1.35046e-65 t=41606
bo ke lai 	博客來	c=4 d=4.32579e-54 t=41606
bo ke lai 	柏克萊	c=1 d=1.35046e-64 t=41606
bo shi 	博士	c=1 d=1.77128e-20 t=41606
bo wen 	博文	c=1 d=0.980199 t=41606
bo zhu 	博主	c=1 d=6.78304e-52 t=41606
bo zi 	脖子	c=2 d=1.82367e-10 t=41606
bu 	不	c=28 d=0.256676 t=41606
bu an quan 	不安全	c=1 d=1.12516e-05 t=41606
bu an zhao 	不按照	c=1 d=2.17651e-32 t=41606
bu bao zheng 	不保證	c=1 d=5.78012e-52 t=41606
bu bei 	不被	c=0 d=0.0249075 t=41606
bu bei wo 	不被我	c=1 d=0.250324 t=41606
bu bi 	不必	c=1 d=0.0229925 t=41606
bu bi shuo 	不必說	c=1 d=0.231078 t=41606
bu bi yao 	不必要	c=2 d=5.1487e-44 t=41606
bu biao 	不表	c=0 d=5.09747e-45 t=41606
bu biao yao 	不表要	c=1 d=5.12302e-44 t=41606
bu bu 	步步	c=0 d=1.26991e-18 t=41606
bu bu bu 	步步不	c=1 d=1.27628e-17 t=41606
bu chang 	不長	c=6 d=2.84485e-06 t=41606
bu chang 	補償	c=1 d=1.81427e-08 t=41606
bu chang qu 	不常去	c=1 d=8.56797e-65 t=41606
bu chang yong 	不常用	c=1 d=5.00963e-16 t=41606
bu chi 	不吃	c=2 d=7.44302e-19 t=41606
bu chi o 	不吃哦	c=1 d=3.71098e-74 t=41606
bu chong 	補充	c=2 d=8.09705e-47 t=41606
bu chou 	不愁	c=1 d=0.0175975 t=41606
bu chu lai 	不出來	c=2 d=7.45292e-13 t=41606
bu chu li 	不處理	c=1 d=1.30113e-38 t=41606
bu chui dian feng shan 	不吹電風扇	c=1 d=1.6687e-24 t=41606
bu cun 	不存	c=1 d=9.47613e-15 t=41606
bu cun zai 	不存在	c=1 d=2.5626e-12 t=41606
bu cuo 	不錯	c=22 d=0.00313129 t=41606
bu cuo chi 	不錯吃	c=1 d=3.72958e-74 t=41606
bu da 	不打	c=0 d=9.54279e-69 t=41606
bu da jin 	不打緊	c=1 d=1.82958e-48 t=41606
bu da le 	不打了	c=1 d=9.59063e-68 t=41606
bu da rao 	不打擾	c=2 d=5.45407e-16 t=41606
bu da rao ni le 	不打擾你了	c=1 d=2.08216e-40 t=41606
bu da suan 	不打算	c=1 d=2.85795e-60 t=41606
bu dan dan 	不單單	c=1 d=5.92342e-46 t=41606
bu dang 	不當	c=1 d=2.89159e-80 t=41606
bu dao 	不到	c=2 d=4.68288e-40 t=41606
bu dao de 	不道德	c=1 d=5.12651e-52 t=41606
bu de bu 	不得不	c=0 d=8.34364e-48 t=41606
bu de bu tan 	不得不談	c=1 d=8.38546e-47 t=41606
bu ding 	不定	c=0 d=0.050409 t=41606
bu ding 	補丁	c=3 d=1.31416 t=41606
bu dong 	不懂	c=4 d=0.351692 t=41606
bu dong chan 	不動產	c=1 d=3.95213e-50 t=41606
